Country,Code,PI,HFI,GPI,M,GBD,HDI,ES,GI,PI Raw,HFI Raw,GPI Raw,M Raw,GBD Raw,HDI Raw,ES Raw,GI Raw,Total
Bulgaria,BGR,-1,1,2,7,1,2,4,2,-1,-1,1.628,-1,26541.73,0.816,57,0.206,2.714285714
Burkina Faso,BFA,8,4,4,4,5,8,7,7,0.51905924,0.51905924,2.316,-1,57810.08,0.452,38.3,0.594,5.875
Burundi,BDI,6,7,5,6,5,9,9,6,0.40317395,0.40317395,2.506,-1,55770.82,0.433,27,0.504,6.625
Cabo Verde,CPV,-1,2,-1,3,1,5,8,4,-1,-1,-1,-1,28267.24,0.665,32.8,0.397,3.833333333
Cambodia,KHM,2,4,3,6,2,6,8,5,0.17034812,0.17034812,2.011,-1,36602.31,0.594,33.6,0.474,4.5
Cameroon,CMR,4,6,6,5,4,6,8,6,0.24268994,0.24268994,2.65,-1,52120.33,0.563,33.6,0.56,5.625
Canada,CAN,-1,0,0,5,0,0,1,0,-1,-1,1.298,-1,19226.77,0.929,71,0.08,0.857142857
Central African Republic,CAF,7,7,8,-1,10,9,7,8,0.46486375,0.46486375,3.237,-1,96470.91,0.397,36.9,0.68,8
Chad,TCD,9,6,5,7,5,9,9,8,0.53344196,0.53344196,2.538,-1,63126.54,0.398,26.7,0.71,7.25
Chile,CHL,-1,1,2,7,0,1,4,2,-1,-1,1.804,-1,21615.71,0.851,55.3,0.247,2.428571429
China,CHN,0,5,4,5,0,3,7,1,0.01595751,0.01595751,2.166,-1,22086.06,0.761,37.3,0.168,3.125
Colombia,COL,0,4,6,6,0,3,4,5,0.01965727,0.01965727,2.646,-1,21427.33,0.767,52.9,0.428,3.5
Comoros,COM,3,-1,-1,-1,2,7,8,-1,0.18077141,0.18077141,-1,-1,38155.36,0.554,32.1,-1,5
Congo,COG,1,6,4,5,4,6,8,7,0.1116763,0.1116763,2.343,-1,53615.41,0.574,30.8,0.57,5.125
Congo (Democratic Republic of the),COD,6,7,8,7,5,8,7,7,0.38901684,0.38901684,3.243,-1,57690.8,0.48,36.4,0.617,6.875
Costa Rica,CRI,-1,2,2,0,0,2,5,3,-1,-1,1.691,-1,20790.95,0.81,52.5,0.288,2
Côte d'Ivoire,CIV,3,4,4,5,4,7,9,7,0.235871,0.235871,2.169,-1,54257.12,0.538,25.8,0.638,5.375
Croatia,HRV,-1,1,2,6,0,1,3,1,-1,-1,1.615,-1,21599.11,0.851,63.1,0.116,2
Cuba,CUB,-1,-1,3,-1,0,3,5,3,-1,-1,2.074,-1,21017.6,0.783,48.4,0.304,2.8
Cyprus,CYP,-1,1,3,9,0,1,2,0,-1,-1,1.92,-1,18287.11,0.887,64.8,0.086,2.285714286
Czechia,CZE,-1,1,1,5,0,1,1,1,-1,-1,1.337,-1,21382.38,0.9,71,0.136,1.428571429
Denmark,DNK,-1,0,0,6,0,0,0,0,-1,-1,1.283,-1,19430.93,0.94,82.5,0.038,0.857142857
Djibouti,DJI,-1,-1,4,-1,2,7,9,-1,-1,-1,2.215,-1,39318.84,0.524,28.1,-1,5.5
Dominica,DMA,-1,-1,-1,-1,2,3,6,-1,-1,-1,-1,-1,32138.15,0.742,44.6,-1,3.666666667
Dominican Republic,DOM,0,3,3,4,1,3,6,5,0.01510326,0.01510326,1.992,-1,30965.8,0.756,46.3,0.455,3.125
Ecuador,ECU,0,3,3,6,1,3,5,4,0.01795288,0.01795288,2.085,-1,25477.07,0.759,51,0.384,3.125
Egypt,EGY,0,8,5,7,2,4,6,5,0.01942496,0.01942496,2.481,-1,35255.07,0.707,43.3,0.449,4.625
El Salvador,SLV,0,3,4,6,1,5,6,4,0.03246251,0.03246251,2.243,-1,29122.39,0.673,43.1,0.383,3.625
Equatorial Guinea,GNQ,-1,-1,3,5,3,6,7,-1,-1,-1,1.891,-1,46657.39,0.592,38.1,-1,4.8
Eritrea,ERI,-1,-1,5,-1,5,8,8,-1,-1,-1,2.567,-1,57076.41,0.459,30.4,-1,6.5
Estonia,EST,-1,0,2,7,1,1,2,0,-1,-1,1.68,-1,23217.91,0.892,65.3,0.086,1.857142857
Eswatini,SWZ,1,5,3,0,5,6,8,7,0.08127132,0.08127132,1.934,-1,61391,0.611,33.8,0.567,4.375
Ethiopia,ETH,8,7,5,5,3,8,8,6,0.48879027,0.48879027,2.526,-1,40653.53,0.485,34.4,0.517,6.25
Fiji,FJI,-1,3,-1,6,3,3,8,4,-1,-1,-1,-1,39647.65,0.743,34.4,0.37,4.5
Finland,FIN,-1,0,1,7,0,0,0,0,-1,-1,1.404,-1,19522.24,0.938,78.9,0.047,1.142857143
France,FRA,-1,1,3,6,0,0,0,0,-1,-1,1.93,-1,17833.05,0.901,80,0.049,1.428571429
